"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 20:15:14 GMT 2024","Fri Jun 07 20:15:16 GMT 2024","1290","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryInvalidCaseTitleTest","boundaryInvalidCaseTitleTest",""
"passed","Fri Jun 07 20:14:52 GMT 2024","Fri Jun 07 20:14:53 GMT 2024","1444","Main Suite","Gui","tests.gui.CreatingTestCase","tests.gui.CreatingTestCase","creatingTC","creatingTC",""
"passed","Fri Jun 07 20:14:31 GMT 2024","Fri Jun 07 20:14:31 GMT 2024","399","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","getCaseByIdTest","Get case by valid ID",""
"passed","Fri Jun 07 20:14:30 GMT 2024","Fri Jun 07 20:14:30 GMT 2024","207","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","getProjectWithInvalidIdTest","Get project by invalid ID - alt flow",""
"passed","Fri Jun 07 20:15:43 GMT 2024","Fri Jun 07 20:15:45 GMT 2024","1477","Main Suite","Gui","tests.gui.UploadFileTest","tests.gui.UploadFileTest","uploadImageTest","uploadImageTest",""
"passed","Fri Jun 07 20:15:37 GMT 2024","Fri Jun 07 20:15:38 GMT 2024","1487","Main Suite","Gui","tests.gui.DeleteTest","tests.gui.DeleteTest","deleteCaseTest","deleteCaseTest",""
"passed","Fri Jun 07 20:14:29 GMT 2024","Fri Jun 07 20:14:30 GMT 2024","790","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","deleteProject","Delete project existent project",""
"passed","Fri Jun 07 20:14:26 GMT 2024","Fri Jun 07 20:14:29 GMT 2024","2806","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","createProjectTest","Add project",""
"passed","Fri Jun 07 20:14:31 GMT 2024","Fri Jun 07 20:14:31 GMT 2024","461","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","addCaseTest","Add case to project",""
"passed","Fri Jun 07 20:14:31 GMT 2024","Fri Jun 07 20:14:32 GMT 2024","375","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","getCaseWithInvalidIdTest","Get case by invalid ID - alt flow",""
"failed","Fri Jun 07 20:14:58 GMT 2024","Fri Jun 07 20:14:59 GMT 2024","1854","Main Suite","Gui","tests.gui.HintNegativeTests","tests.gui.HintNegativeTests","failedOnPurposeTest","failedOnPurposeTest",""
"passed","Fri Jun 07 20:15:32 GMT 2024","Fri Jun 07 20:15:33 GMT 2024","1220","Main Suite","Gui","tests.gui.DeleteTest","tests.gui.DeleteTest","deleteCaseModalWindowTest","deleteCaseModalWindowTest",""
"passed","Fri Jun 07 20:15:10 GMT 2024","Fri Jun 07 20:15:10 GMT 2024","723","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryInvalidCaseTitleTest","boundaryInvalidCaseTitleTest",""
"passed","Fri Jun 07 20:15:20 GMT 2024","Fri Jun 07 20:15:21 GMT 2024","1297","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryValidCaseTitleTest","boundaryValidCaseTitleTest",""
"passed","Fri Jun 07 20:15:03 GMT 2024","Fri Jun 07 20:15:05 GMT 2024","1777","Main Suite","Gui","tests.gui.HintNegativeTests","tests.gui.HintNegativeTests","incorrectDataInputCaseTest","incorrectDataInputCaseTest",""
"passed","Fri Jun 07 20:15:25 GMT 2024","Fri Jun 07 20:15:27 GMT 2024","1839","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryValidCaseTitleTest","boundaryValidCaseTitleTest",""
