"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 13:45:16 GMT 2024","Sat Jun 08 13:45:17 GMT 2024","1700","Main Suite","Gui","tests.gui.DeleteTest","tests.gui.DeleteTest","deleteCaseModalWindowTest","deleteCaseModalWindowTest",""
"passed","Sat Jun 08 13:44:31 GMT 2024","Sat Jun 08 13:44:31 GMT 2024","564","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","getCaseWithInvalidIdTest","Get case by invalid ID - alt flow",""
"passed","Sat Jun 08 13:45:29 GMT 2024","Sat Jun 08 13:45:31 GMT 2024","1822","Main Suite","Gui","tests.gui.UploadFileTest","tests.gui.UploadFileTest","uploadImageTest","uploadImageTest",""
"passed","Sat Jun 08 13:44:53 GMT 2024","Sat Jun 08 13:44:54 GMT 2024","737","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryInvalidCaseTitleTest","boundaryInvalidCaseTitleTest",""
"passed","Sat Jun 08 13:44:30 GMT 2024","Sat Jun 08 13:44:31 GMT 2024","571","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","getCaseByIdTest","Get case by valid ID",""
"passed","Sat Jun 08 13:44:47 GMT 2024","Sat Jun 08 13:44:49 GMT 2024","1787","Main Suite","Gui","tests.gui.HintNegativeTests","tests.gui.HintNegativeTests","incorrectDataInputCaseTest","incorrectDataInputCaseTest",""
"passed","Sat Jun 08 13:44:30 GMT 2024","Sat Jun 08 13:44:30 GMT 2024","601","Main Suite","Api","tests.api.ApiCaseTest","tests.api.ApiCaseTest","addCaseTest","Add case to project",""
"passed","Sat Jun 08 13:44:35 GMT 2024","Sat Jun 08 13:44:36 GMT 2024","1439","Main Suite","Gui","tests.gui.CreatingTestCase","tests.gui.CreatingTestCase","creatingTC","creatingTC",""
"passed","Sat Jun 08 13:44:24 GMT 2024","Sat Jun 08 13:44:27 GMT 2024","2754","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","createProjectTest","Add project",""
"passed","Sat Jun 08 13:45:03 GMT 2024","Sat Jun 08 13:45:04 GMT 2024","1362","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryValidCaseTitleTest","boundaryValidCaseTitleTest",""
"passed","Sat Jun 08 13:44:28 GMT 2024","Sat Jun 08 13:44:29 GMT 2024","573","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","getProjectWithInvalidIdTest","Get project by invalid ID - alt flow",""
"passed","Sat Jun 08 13:44:58 GMT 2024","Sat Jun 08 13:44:59 GMT 2024","1313","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryInvalidCaseTitleTest","boundaryInvalidCaseTitleTest",""
"passed","Sat Jun 08 13:44:27 GMT 2024","Sat Jun 08 13:44:28 GMT 2024","1188","Main Suite","Api","tests.api.ApiProjectTest","tests.api.ApiProjectTest","deleteProject","Delete project existent project",""
"passed","Sat Jun 08 13:45:21 GMT 2024","Sat Jun 08 13:45:23 GMT 2024","1994","Main Suite","Gui","tests.gui.DeleteTest","tests.gui.DeleteTest","deleteCaseTest","deleteCaseTest",""
"passed","Sat Jun 08 13:45:08 GMT 2024","Sat Jun 08 13:45:10 GMT 2024","1885","Main Suite","Gui","tests.gui.CaseNameBoundaryTest","tests.gui.CaseNameBoundaryTest","boundaryValidCaseTitleTest","boundaryValidCaseTitleTest",""
"failed","Sat Jun 08 13:44:41 GMT 2024","Sat Jun 08 13:44:43 GMT 2024","1869","Main Suite","Gui","tests.gui.HintNegativeTests","tests.gui.HintNegativeTests","failedOnPurposeTest","failedOnPurposeTest",""
